Gmt time,Open,High,Low,Close,Volume
03.05.2003 21:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 21:00:00.000,1.12284,1.13009,1.12014,1.12774,1274222.4044
05.05.2003 21:00:00.000,1.12728,1.14506,1.12723,1.14338,1279672.4785
06.05.2003 21:00:00.000,1.14297,1.14438,1.13265,1.13647,1278008.6017
07.05.2003 21:00:00.000,1.13605,1.15077,1.13006,1.14996,1265182.6036999999
08.05.2003 21:00:00.000,1.14932,1.15366,1.14346,1.14877,1272916.5097999999
09.05.2003 21:00:00.000,1.14877,1.14877,1.14877,1.14877,0
10.05.2003 21:00:00.000,1.14877,1.14877,1.14877,1.14877,0
11.05.2003 21:00:00.000,1.14888,1.16229,1.14888,1.15427,1270388.3886999998
12.05.2003 21:00:00.000,1.15357,1.15739,1.14620,1.15120,1263821.0098
13.05.2003 21:00:00.000,1.15120,1.15370,1.14667,1.14940,1277471.5937999997
14.05.2003 21:00:00.000,1.14913,1.14967,1.13744,1.13847,1275857.4160000002
15.05.2003 21:00:00.000,1.13775,1.15766,1.13675,1.15705,1274033.5976999998
16.05.2003 21:00:00.000,1.15705,1.15705,1.15705,1.15705,0
17.05.2003 21:00:00.000,1.15705,1.15705,1.15705,1.15705,0
18.05.2003 21:00:00.000,1.16564,1.17353,1.16205,1.16566,1276461
19.05.2003 21:00:00.000,1.16520,1.17146,1.15998,1.17039,1278055.2110000001
20.05.2003 21:00:00.000,1.16989,1.17437,1.16610,1.16716,1269671.4045
21.05.2003 21:00:00.000,1.16654,1.17266,1.16181,1.16908,1276077.1016999998
22.05.2003 21:00:00.000,1.16877,1.18363,1.16635,1.18236,1276165.4083
23.05.2003 21:00:00.000,1.18236,1.18236,1.18236,1.18236,0
24.05.2003 21:00:00.000,1.18236,1.18236,1.18236,1.18236,0
25.05.2003 21:00:00.000,1.18200,1.18744,1.17955,1.18660,1278312.8028000002
26.05.2003 21:00:00.000,1.18600,1.19286,1.18166,1.18258,1271915.7988
27.05.2003 21:00:00.000,1.18191,1.18439,1.17037,1.17619,1276412.4981999998
28.05.2003 21:00:00.000,1.17587,1.18998,1.16909,1.18803,1278348.9726999998
29.05.2003 21:00:00.000,1.18757,1.19144,1.17419,1.17661,1272050.9962
30.05.2003 21:00:00.000,1.17661,1.17661,1.17661,1.17661,0
31.05.2003 21:00:00.000,1.17661,1.17815,1.17661,1.17815,0
01.06.2003 21:00:00.000,1.17079,1.17652,1.16504,1.17443,1160226.1016
02.06.2003 21:00:00.000,1.17426,1.17773,1.16858,1.17361,1270931.8927
03.06.2003 21:00:00.000,1.17295,1.17463,1.16609,1.16615,1276120.5998
04.06.2003 21:00:00.000,1.16565,1.18850,1.16273,1.18375,1280677.8751
05.06.2003 21:00:00.000,1.18319,1.18772,1.16829,1.16971,1279083.7989999999
06.06.2003 21:00:00.000,1.16971,1.16971,1.16971,1.16971,0
07.06.2003 21:00:00.000,1.16971,1.16971,1.16971,1.16971,0
08.06.2003 21:00:00.000,1.16870,1.17846,1.16548,1.17131,1274278.3164000001
09.06.2003 21:00:00.000,1.17076,1.17400,1.16692,1.16729,1269463.797
10.06.2003 21:00:00.000,1.16676,1.17805,1.16571,1.17391,1264178.7070999998
11.06.2003 21:00:00.000,1.17359,1.18038,1.17020,1.17608,1267150.5976
12.06.2003 21:00:00.000,1.17582,1.18758,1.17338,1.18600,1279678.8027
13.06.2003 21:00:00.000,1.18600,1.18600,1.18600,1.18600,0
14.06.2003 21:00:00.000,1.18600,1.18600,1.18600,1.18600,0
15.06.2003 21:00:00.000,1.18624,1.19263,1.18198,1.18326,1271366.0858999998
16.06.2003 21:00:00.000,1.18316,1.18652,1.17670,1.17907,1265464.6114
17.06.2003 21:00:00.000,1.17844,1.18016,1.16604,1.16853,1265660.5058999998
18.06.2003 21:00:00.000,1.16770,1.17372,1.15826,1.17173,1266762.291
19.06.2003 21:00:00.000,1.17130,1.17333,1.15501,1.16010,1271527.8046999997
20.06.2003 21:00:00.000,1.16010,1.16010,1.16010,1.16010,0
21.06.2003 21:00:00.000,1.16010,1.16010,1.16010,1.16010,0
22.06.2003 21:00:00.000,1.15955,1.16028,1.15069,1.15399,1267169.3263
23.06.2003 21:00:00.000,1.15374,1.15801,1.14750,1.15141,1281097.0878999997
24.06.2003 21:00:00.000,1.15118,1.16205,1.14897,1.15368,1274772.5917
25.06.2003 21:00:00.000,1.15379,1.15509,1.14125,1.14151,1269716.2051000001
26.06.2003 21:00:00.000,1.14145,1.14665,1.13984,1.14224,1271972.7112
27.06.2003 21:00:00.000,1.14224,1.14224,1.14224,1.14224,0
28.06.2003 21:00:00.000,1.14224,1.14224,1.14224,1.14224,0
29.06.2003 21:00:00.000,1.14238,1.15121,1.13964,1.15086,1279420.6034000001
30.06.2003 21:00:00.000,1.15084,1.16069,1.15010,1.15578,1275064.2969
01.07.2003 21:00:00.000,1.15549,1.15668,1.15035,1.15366,1267163.0001
02.07.2003 21:00:00.000,1.15345,1.15424,1.14316,1.14915,1276490.7968999997
03.07.2003 21:00:00.000,1.14865,1.14999,1.14462,1.14862,1281812.5058000002
04.07.2003 21:00:00.000,1.14862,1.14862,1.14862,1.14862,0
05.07.2003 21:00:00.000,1.14862,1.14862,1.14862,1.14862,0
06.07.2003 21:00:00.000,1.14800,1.14854,1.13122,1.13222,1273294.4221
07.07.2003 21:00:00.000,1.13177,1.13498,1.12577,1.13121,1258378.7052000002
08.07.2003 21:00:00.000,1.13107,1.13650,1.13029,1.13451,1277843.6994000003
09.07.2003 21:00:00.000,1.13409,1.13914,1.13085,1.13861,1267429.0039000004
10.07.2003 21:00:00.000,1.13807,1.13887,1.12749,1.12960,1265165.4862000002
11.07.2003 21:00:00.000,1.12960,1.12960,1.12960,1.12960,0
12.07.2003 21:00:00.000,1.12960,1.12960,1.12960,1.12960,0
13.07.2003 21:00:00.000,1.12864,1.13070,1.12410,1.12749,1269917.7892
14.07.2003 21:00:00.000,1.12707,1.13358,1.11550,1.11828,1267433.9179
15.07.2003 21:00:00.000,1.11775,1.12305,1.11113,1.12038,1272510.6073999999
16.07.2003 21:00:00.000,1.12049,1.12477,1.11556,1.12049,1266504.7930999997
17.07.2003 21:00:00.000,1.11975,1.13022,1.11701,1.12716,1278004.6915000002
18.07.2003 21:00:00.000,1.12716,1.12716,1.12716,1.12716,0
19.07.2003 21:00:00.000,1.12716,1.12716,1.12716,1.12716,0
20.07.2003 21:00:00.000,1.12615,1.13526,1.12401,1.13465,1272058.6074
21.07.2003 21:00:00.000,1.13391,1.13713,1.13044,1.13285,1254297.8849
22.07.2003 21:00:00.000,1.13197,1.14882,1.13119,1.14724,1272355.2092
23.07.2003 21:00:00.000,1.14765,1.15091,1.14220,1.14665,1268987.7970000003
24.07.2003 21:00:00.000,1.14679,1.15477,1.14425,1.15049,1278273.3166000003
25.07.2003 21:00:00.000,1.15049,1.15049,1.15049,1.15049,0
26.07.2003 21:00:00.000,1.15049,1.15049,1.15049,1.15049,0
27.07.2003 21:00:00.000,1.15014,1.15172,1.14511,1.14879,1276345.8029000002
28.07.2003 21:00:00.000,1.14877,1.15365,1.14502,1.14559,1275433.4999999998
29.07.2003 21:00:00.000,1.14502,1.14600,1.13338,1.13396,1263519.4005
30.07.2003 21:00:00.000,1.13367,1.13709,1.12222,1.12398,1266967.7947
31.07.2003 21:00:00.000,1.12350,1.12706,1.11338,1.12531,1216925.2034
01.08.2003 21:00:00.000,1.12531,1.12531,1.12531,1.12531,0
02.08.2003 21:00:00.000,1.12531,1.12531,1.12531,1.12531,0
03.08.2003 21:00:00.000,1.12773,1.13734,1.12564,1.13540,1272231.1973
04.08.2003 21:00:00.000,1.13543,1.13966,1.13054,1.13863,1279489.5118000002
05.08.2003 21:00:00.000,1.13797,1.14250,1.13238,1.13291,1270227.5977000003
06.08.2003 21:00:00.000,1.13245,1.14138,1.13173,1.13702,1273274.2207999998
07.08.2003 21:00:00.000,1.13646,1.13817,1.12861,1.13053,1261236.6993
08.08.2003 21:00:00.000,1.13053,1.13053,1.13053,1.13053,0
09.08.2003 21:00:00.000,1.13053,1.13053,1.13053,1.13053,0
10.08.2003 21:00:00.000,1.12882,1.13788,1.12615,1.13552,1242761.9102
11.08.2003 21:00:00.000,1.13518,1.13709,1.12745,1.12800,1335296.7209
12.08.2003 21:00:00.000,1.12767,1.13302,1.12169,1.13190,1354644.4884000001
13.08.2003 21:00:00.000,1.13163,1.13365,1.12234,1.12547,1334944.6935
14.08.2003 21:00:00.000,1.12565,1.12944,1.12396,1.12633,1301675.9081
15.08.2003 21:00:00.000,1.12633,1.12633,1.12633,1.12633,0
16.08.2003 21:00:00.000,1.12633,1.12633,1.12633,1.12633,0
17.08.2003 21:00:00.000,1.12420,1.12675,1.11221,1.11398,1327518.6152000001
18.08.2003 21:00:00.000,1.11415,1.11510,1.10534,1.11362,1342325.6057
19.08.2003 21:00:00.000,1.11310,1.11462,1.10783,1.11155,1344872.7910999998
20.08.2003 21:00:00.000,1.11123,1.11209,1.08826,1.09196,1346824.5898000002
21.08.2003 21:00:00.000,1.09133,1.09445,1.08350,1.08731,1334104.6895999997
22.08.2003 21:00:00.000,1.08731,1.08731,1.08731,1.08731,0
23.08.2003 21:00:00.000,1.08731,1.08731,1.08731,1.08731,0
24.08.2003 21:00:00.000,1.08496,1.09169,1.08443,1.08705,1343844.4179
25.08.2003 21:00:00.000,1.08670,1.09080,1.07911,1.08512,1338102.2911
26.08.2003 21:00:00.000,1.08474,1.09288,1.08303,1.08830,1340521.7911
27.08.2003 21:00:00.000,1.08786,1.09114,1.08082,1.08781,1344437.3204999997
28.08.2003 21:00:00.000,1.08773,1.09964,1.08678,1.09817,1348179.8927
29.08.2003 21:00:00.000,1.09817,1.09817,1.09817,1.09817,0
30.08.2003 21:00:00.000,1.09817,1.09817,1.09817,1.09817,0
31.08.2003 21:00:00.000,1.09873,1.10125,1.09487,1.09645,1203066.6095
01.09.2003 21:00:00.000,1.09598,1.09700,1.08014,1.08049,1320140.6975
02.09.2003 21:00:00.000,1.08047,1.08715,1.07606,1.08444,1360730.2031999999
03.09.2003 21:00:00.000,1.08425,1.09485,1.08050,1.09400,1353345.9141
04.09.2003 21:00:00.000,1.09374,1.11116,1.09150,1.11019,1324495.1982000002
05.09.2003 21:00:00.000,1.11019,1.11019,1.11019,1.11019,0
06.09.2003 21:00:00.000,1.11019,1.11019,1.11019,1.11019,0
07.09.2003 21:00:00.000,1.10973,1.11282,1.10448,1.10619,1348611.9884
08.09.2003 21:00:00.000,1.10625,1.12390,1.10514,1.12208,1359372.8807
09.09.2003 21:00:00.000,1.12169,1.12347,1.11608,1.12046,1365261.6815999998
10.09.2003 21:00:00.000,1.12032,1.12695,1.11537,1.12059,1364003.012
11.09.2003 21:00:00.000,1.12024,1.13208,1.11329,1.12883,1344504.6992999997
12.09.2003 21:00:00.000,1.12883,1.12883,1.12883,1.12883,0
13.09.2003 21:00:00.000,1.12883,1.12883,1.12883,1.12883,0
14.09.2003 21:00:00.000,1.12675,1.13082,1.12401,1.12787,1348262.7228
15.09.2003 21:00:00.000,1.12771,1.13165,1.11523,1.11716,1346871.3732
16.09.2003 21:00:00.000,1.11712,1.12989,1.11366,1.12804,1340380.7793000003
17.09.2003 21:00:00.000,1.12773,1.13414,1.12246,1.12526,1337392.3165
18.09.2003 21:00:00.000,1.12500,1.13823,1.12363,1.13762,1353038.1016000002
19.09.2003 21:00:00.000,1.13762,1.13762,1.13762,1.13762,0
20.09.2003 21:00:00.000,1.13762,1.13762,1.13762,1.13762,0
21.09.2003 21:00:00.000,1.14333,1.15031,1.14124,1.14572,1351829.7832999998
22.09.2003 21:00:00.000,1.14518,1.15233,1.14348,1.14374,1350760.3106999998
23.09.2003 21:00:00.000,1.14375,1.15034,1.14260,1.14919,1353903.9764999999
24.09.2003 21:00:00.000,1.14881,1.15321,1.14568,1.14872,1339085.086
25.09.2003 21:00:00.000,1.14826,1.14965,1.14385,1.14577,1340344.6113
26.09.2003 21:00:00.000,1.14577,1.14577,1.14577,1.14577,0
27.09.2003 21:00:00.000,1.14577,1.14577,1.14577,1.14577,0
28.09.2003 21:00:00.000,1.14488,1.15980,1.13927,1.15941,1348136.9161999999
29.09.2003 21:00:00.000,1.15940,1.17323,1.15686,1.16517,1348877.0939
30.09.2003 21:00:00.000,1.16515,1.17278,1.16412,1.17116,1351259.1055
01.10.2003 21:00:00.000,1.17123,1.17668,1.16596,1.16896,1349580.4980999997
02.10.2003 21:00:00.000,1.16873,1.17193,1.15487,1.15780,1354661.2207000002
03.10.2003 21:00:00.000,1.15780,1.15780,1.15780,1.15780,0
04.10.2003 21:00:00.000,1.15780,1.15780,1.15780,1.15780,0
05.10.2003 21:00:00.000,1.15585,1.17212,1.15309,1.17049,1337483.9864999999
06.10.2003 21:00:00.000,1.17042,1.18098,1.16960,1.17560,1342748.209
07.10.2003 21:00:00.000,1.17577,1.18376,1.17551,1.18062,1340032.3046
08.10.2003 21:00:00.000,1.18027,1.18588,1.16830,1.17427,1344555.8028
09.10.2003 21:00:00.000,1.17397,1.18461,1.17012,1.17928,1328469.1251999997
10.10.2003 21:00:00.000,1.17928,1.17928,1.17928,1.17928,0
11.10.2003 21:00:00.000,1.17928,1.17928,1.17928,1.17928,0
12.10.2003 21:00:00.000,1.18039,1.18138,1.16512,1.17000,1334663.3944999997
13.10.2003 21:00:00.000,1.16990,1.17638,1.15803,1.17204,1338008.6932
